P(new|cpp): 0.022169556049041746
P(throw|cpp): 0.019986190680575514
P(match|cpp): 0.0026125739451732695
P(private|cpp): 0.007165917106760968
P(friend|cpp): 0.0003545636068449437
P(unsafe|cpp): 3.7322484931046706e-05
P(synchronized|cpp): 1.8661242465523353e-05
P(public|cpp): 0.03784499972008136
P(static|cpp): 0.0905256872002538
P(void|cpp): 0.22197547912740032
P(main|cpp): 0.005430421557467296
P(Vec|cpp): 0.0023326553081904193
P(try|cpp): 0.011420680388900293
P(borrow|cpp): 1.8661242465523353e-05
P(public:|cpp): 1.8661242465523353e-05
P(package|cpp): 1.8661242465523353e-05
P(extends|cpp): 1.8661242465523353e-05
P(namespace|cpp): 0.05781252915819135
P(let|cpp): 1.8661242465523353e-05
P(class|cpp): 0.02179633119973128
P(inline|cpp): 0.018549275010730216
P(catch|cpp): 0.016291264672401887
P(super|cpp): 0.00014928993972418683
P(fn|cpp): 0.002687218915035363
P(override|cpp): 0.00850952656427865
P(mod|cpp): 0.000317241121913897
P(using|cpp): 0.03080971131057906
P(implements|cpp): 1.8661242465523353e-05
P(trait|cpp): 0.00029857987944837365
P(Option|cpp): 7.464496986209341e-05
P(throws|cpp): 1.8661242465523353e-05
P(delete|cpp): 0.006792692257450501
P(virtual|cpp): 0.019146434769626963
P(impl|cpp): 0.004627988131449792
P(import|cpp): 0.00011196745479314013
P(use|cpp): 0.0028178476122940267
P(this|cpp): 0.01630992591486741
P(struct|cpp): 0.023009311959990297
P(private:|cpp): 1.8661242465523353e-05
P(template|cpp): 0.021628380017541568
P(Result|cpp): 0.0010450295780693078
P(return|cpp): 0.32519081120420995
